query_id,book,question_text,ground_truth_answer,source_page_numbers,,,,,,
11,Life's amazing secret,"What are the three kinds of connections described in the hierarchy of spiritual practice, and how do they differ from one another?","The simplest way to explain spiritual practice is to describe the hierarchy of
connections. At any moment, we can be making three kinds of connections:
Outside ourselves: The majority of our time is spent in connecting with the
world—networking, relationships, our work. It’s all crucial, but can lead us
astray if we have no inner direction. The fear of missing out, thinking that the
grass is greener elsewhere, and living a life out of balance are all symptoms of
having incorrectly prioritized happiness outside of ourselves.
Inside ourselves: Beyond our everyday lives, many look for solace within.
People struggling with life, those trying to work on themselves to conquer the
external world, those curious about their inner world, and occasionally, a few of
those seeking the truth—these are the types of people who will take the journey
within.
Above ourselves: Those simply voyaging within can get frustrated by their
lack of progress or direction. They can feel as though they’re on a ship travelling
at 70 knots per hour, but without a compass. Connecting above ourselves means
re-establishing our relationship with God, or something higher than ourselves.
God is One, and is identified differently across different cultures. Therefore, it is
not about connecting to my God or your God, it is about connecting to our God.
When this happens, it is as if a light bulb is getting connected to an entire
powerhouse. A bulb on its own is just a piece of glass with a tungsten filament; it
needs an electrical charge to experience light and give light to others. Similarly,
it is our relationship with something higher than ourselves that can give us love
and allow us to give love to others.","50,51",,,,,,
12,Life's amazing secret,How does the author use the airplane metaphor to explain the short-term and long-term effects of meditation?,"Meditation is like a plane: It first takes you high, then far away and then
further away imperceptibly. I see meditation like a plane because when you take
off, you immediately start gaining altitude. We experience worry and anxiety in
life because we take things out of perspective. Meditation enables us to look
down at all our anxieties, problems and worries through a higher vantage-point,
thus giving us a great sense of peace and calmness.
‘The deeper effect is that meditation carries us far. It completely transforms
our character, develops the best of qualities within us and allows us to
experience self-realization. Through meditation we become the best versions of
ourselves. But this takes time and is often imperceptible. For example, if you
look outside the window on a plane it does not look like you are moving very
fast. But eight hours later, you’re landing halfway across the world.",51,,,,,,
13,Life's amazing secret,Why is theoretical knowledge about spirituality considered insufficient without committing to a spiritual practice (sadhana)?,"Spirituality is based on the premise that we live in this world, but we are not
from it. Many of our problems lie in not understanding our fundamental identity:
we are not human beings having spiritual experiences; we are spiritual beings
having human experiences. It’s impossible to realize this principle theoretically.
We can attend hundreds of lectures and read volumes of books; but this is
inadequate without us committing to a spiritual practice, or sadhana as it is
known in Sanskrit.",50,,,,,,
14,Life's amazing secret,"What analogy is used to explain the importance of discipline in controlling the mind during meditation, and what does it signify?","Meditation becomes difficult because of our mind. It is said that the mind is
like a restless monkey, always jumping from one thought to another. It does not
become peaceful just because you say so. It needs to be controlled. Therefore,
meditation is a discipline that helps us control the mind. For example, the trains
of Mumbai keep the city’s economy moving. But what keeps them travelling is
the fact that they are bound by the tracks, schedule and destinations. Similarly,
the mind without being bound by the discipline of meditation will not be able to
reach its destination. Some days it will feel like meditating, and some days it will
not","51,52",,,,,,
15,Life's amazing secret,"How does meditation contribute to developing gratitude, and why is gratitude described as a “relationship-strengthening emotion”?","People who meditate develop a habit of practising sincere gratitude which
helps them in all their relationships. It is a “relationship-strengthening emotion”
because it requires us to see how we’ve been supported and affirmed by other
people",52,,,,,,
16,Life's amazing secret,who is the founder of ISKCON ?,"ISKCON is the
International Society for Krishna Consciousness, founded by His Divine Grace
A.C. Bhaktivedanta Swami Srila Prabhupada, who was affectionately addressed
by his followers as Srila Prabhupada. She was correct; this was the institution of
spiritually minded people I was a part of.",58,,,,,,
17,Life's amazing secret,Why does the passage argue that treating inanimate objects with disrespect can negatively impact our relationships with people?,"‘It’s just a bucket; I had to get it under the tap quickly. It’s no big deal.’ ‘No big deal?’ he questioned. ‘It is a big deal. Gaur Gopal, I want to share with you what I have learnt about relationships. When we treat inanimate objects, like buckets or our possessions, with disrespect or insensitivity, we will end up treating people the same. At one point in my life, I seemed to be losing a lot of my friends and I heard this advice from one of my guides. Insensitivity becomes part of our general attitude, and our instinct does not discriminate between things and people. Hence, when we treat our things badly, we might notice that insensitivity gradually creeping into our relationships with the people around us.

Then he patted me on my back, smiling, and walked away singing an Indian bhajan. I folded my hands in reverence and turned off the tap to reflect on what had happened. This whole universe is connected, as are the parts of our life. When we treat things with disrespect, we may start doing the same with the people we love. All aspects of our life are integrated.",62,,,,,,
18,Life's amazing secret,"What is the author’s “golden rule” for sensitivity in relationships, and how does it go beyond the common idea of treating others as you would like to be treated?","As the stern officer at the counter checked my details, I remember thinking to myself that if we do not deal with others sensitively, we could ruin our relationship with them. Being attentive in our relationships is crucial to our success. How we behave towards others determines the quality of our life. ‘It’s just my personality’ is not an acceptable excuse to be insensitive towards others. My golden rule to know whether or not you are being adequately sensitive to another person is: treat someone better than you would like to be treated. Ask yourself the question, ‘Does my tone of voice, body language and behaviour reflect sensitivity?",60,,,,,,
19,Life's amazing secret,How to practice being sensitive?,"We must be sensitive with our words and actions. Being sensitive means to think about how the other person may feel before we say or do something. For example, Manasi’s negative experience at the ashram that I reside in affected her outlook on the whole community. How do we practise being sensitive? We must treat even inanimate objects with consideration and respect. If we do not, then the mentality of insensitivity may become a part of our general attitude. One’s instinct or general attitude does not discriminate between things and people. Treating things badly can affect our attitude negatively, which may percolate into our relationships.","63,64",,,,,,
20,Life's amazing secret,"How does the “dirty window” story illustrate the idea that our perception of others depends on our own mindset, and how does this relate to the characteristics of a Type-1 person?","here was a young
couple who lived in a nice home in a beautiful neighbourhood. For some reason,
the wife just did not like the woman who was their next-door neighbour. One
morning, as they were having breakfast, the lady looked out of the window and
saw her neighbour hanging clothes on the clothes line.
‘Look at that,’ she said to her husband. ‘Did you see how dirty their clothes
are even after washing them? I am shocked that a middle-aged housewife like
her doesn’t know how to wash clothes clean. Maybe she should go back to her
mom’s home and take lessons on how to wash correctly.’
Her husband listened silently. Every single time her neighbour would hang her
clothes to dry, the young woman wouldn’t miss a chance to make some sly
comments.
After a few weeks, the wife saw her neighbour hanging clothes on the clothes
line again. But this time something was different.
‘Did you see that? Amazing!’ the surprised wife said to her husband, ‘Finally
her clothes are clean! I am sure she did not wash them. Someone else must have
done it for her!’ Without even getting up from his seat to look at the neighbour’s
clothes, the husband responded, ‘You know something, darling? I got up early
this morning and washed our windows.’
Isn’t it a fact that what we see in others depends on the window we are
looking through? Washing our own windows can change our vision.
But Type-1 people don’t even agree that their windows are dirty, what to
speak of cleaning them. They not only continue to perceive the clean laundry as
dirty but also keep bad-mouthing it.","66,67",,,,,,
21,Life's amazing secret,"How does the story of the intelligent dog illustrate the mindset of a Type-2 person, and what does it reveal about the tendency to focus on faults while neglecting consistent positive qualities?","A man was once buying groceries from a supermarket. He was pushing his
trolley whilst looking at the scribbled list his wife gave him when he crashed
into another trolley. ‘Sorry!’ he exclaimed automatically. But what he saw
shocked him. It was a dog pushing the other shopping trolley and picking up a
variety of things! Amazed, he followed the dog around from aisle to aisle,
snooping on his every move. The dog picked up fruits, chocolate, bread, pasta; a
bag’s worth of provisions. Then he went up to the cashier and pulled out a few
dollar bills to make the payment. The monotonous cashier was unfazed. It
seemed as if he was familiar with this furry friend. The man then saw that the
cashier gave the dog $10 less. The dog barked and tugged at the cashier’s trouser
leg until he gave him the correct balance. How is this possible? the man thought,
standing there, gobsmacked. I have to find out who owns this intelligent dog!
The man followed the dog all the way to its home on the fifteenth floor of an
apartment block. You guessed it—the dog pressed the correct floor on the
elevator, reached a dark-blue door and dropped the shopping. He then began to
scratch on the door, making a whining sound to get the attention of his owner.
After some time, the owner opened the door and started shouting at the dog.
‘You useless, ungrateful good-for-nothing animal! I hope you got everything!’
Then they both went inside. The man was even more bewildered now. Did the
dog’s owner really just say that? Curious, he knocked on the door three times,
twiddling his thumbs, anxious to ask the owner why he had shouted at his genius
dog. It opened.
‘Yes?’ the owner asked rudely.
‘Err, sir, I just had a question. I noticed that your dog did all the shopping
from the supermarket for you, managed to get the correct change from the
cashier, walked all the way back to this building, pressed the right number on the
elevator—he is unbelievable! Why did you shout at him? I have to know why.’
‘Yes. All that’s normal for him. But this is the second time he’s forgotten the
keys to the house. It’s pathetic, I had to get up and open the door!’ The man
stood outside the apartment with his mouth wide open in disbelief at what he had
just heard.
Isn’t this the story of our lives? Our friends and family are doing so many
good things, but we neglect them and focus solely on the negatives. Wonderful
things are occurring all around us, and within the people we love, but this type of
person can only think about how the other forgot the key!","67,68",,,,,,
22,Life's amazing secret,How does the story of Aditya Birla illustrate the mindset of a Type-4 person in handling mistakes and relationships?,"A recent article about the late industrialist Aditya Birla featured in the
‘Speaking Tree’ section of the Times of India succinctly highlights the
characteristics of this type of person.
Aditya Birla was the CEO of the multibillion-dollar company Hindalco
Industries. The article is about one of his senior executives who lost the
company millions of dollars by mistake. Any other leader would have fired—if
not sued—the employee, but not Aditya Birla. Before he had a meeting with
him, Birla took out a notepad and wrote a title at the top: Points in favour of this
employee. He then made a list of all the strengths this man had, including the
time he had made the company millions of dollars. Aditya Birla had consciously
chosen to shift his attention to all the good that this executive had done for the
company before making any judgement or dealing with the mistake.
As news spread throughout the company that Birla did not sack this employee,
a philosophy and culture of sensitive dealings evolved within the organization.
Another senior executive in the company wrote, ‘Whenever I am tempted to
reprimand someone, I convince myself to sit down and write a list of all the good
qualities they have. This may not necessarily change my decision, but it helps
me put things into perspective and control my anger.’
To focus on the good and deal with the bad is a principle that can save
relationships and help us make the right decision.",69,,,,,,
23,Life's amazing secret,What is the difference between neglecting the bad (Type-4) and ignoring the bad completely (Type-5)?,"Then there are those who see the good and bad but consciously choose to neglect
the bad and focus on the good. It is tough for people to live by this as they have
to make the conscious effort to stay away from the natural human tendency to
see the bad. It can take a lot of work to continuously see the good.
This stage can only be possible for God, or for one who has reached the heights
of spirituality. To see only the good in someone’s character, or to magnify the
slight good to the point where it overshadows their ills, is a great feat but one
which is impractical for most of us to follow.","68,69",,,,,,
24,Life's amazing secret,In what ways we can perceive people?,"We can perceive people in the following five ways:
See only bad and magnify it.
See good and bad, neglect the good and focus on the bad.
See good and bad, and be neutral to both.
See good and bad, choose to focus on the good and neglect
the bad.
See the good and magnify it.",70,,,,,,
25,Life's amazing secret,"What does the principle “investment before withdrawal” mean in the context of relationships, and how does it apply when correcting someone?","Investment before Withdrawal ‘In 2017, at the end of September, I was invited to speak at the Bombay Stock Exchange on the topic of “Indian Culture Empowering Work–Life Balance”. The venue was what you would expect it to be. A large, round auditorium, a grand stage lined with a velvet red carpet and 150 executives from stock exchanges around the world. It was a prestigious event, and I felt honoured to be invited to speak there. A point that I made there seemed to resonate with the high-flying audience. I said, “Our mutual funds and our relationships have one thing in common: we must invest in both before we can withdraw.” And this is how it is —many times we forget to invest appreciation and love into a person before we correct them. This can leave them feeling demotivated and not cherished",71,,,,,,
26,Life's amazing secret,What are the four principles one should consider before giving corrective feedback?,"Corrective feedback is an art. It has four principles. Ask yourself: Am I the right person to give corrective feedback? Do I have the right motive to give corrective feedback? Do I know the right way to give corrective feedback? Is it the right time? The smooth implementation of these four principles takes time because giving corrective feedback insensitively has become an addictive habit for many.

",79,,,,,,
27,Life's amazing secret,"Why is motive important when correcting someone, and what wrong motive does the passage warn against?","Do I have the right motive to give corrective feedback? 
‘It is said that we can control two things in our life, our desires and our motives. Our desires govern what we want and our motives tell us why we want it. In many cases, we may correct others because we want to settle old accounts. We may have a grudge against them and we may use the opportunity to correct them, simply to exact our vengeance. But this should not be our motive. It should be to help them as a friend. We should be conscientious that our motive is appropriate; we want to help them come out of the wrong they are doing. Feedback from a place of love may seem unpalatable, but it tastes the sweetest if done appropriately and has the right effect.",76,,,,,,
28,Life's amazing secret,"Why does the passage say “hot heads do not give good feedback,” and what does this imply about timing?","Is it the right time? 
We should not simply let our anger loose—we should explain it. When we express what we feel, we do so at the risk of seeming unpleasant, but when we take the time to explain our emotions to people, they might be able to empathize with us. The bottom line: hot heads do not give good feedback—choose a better time.",77,,,,,,
29,Life's amazing secret,"What does it mean to “separate the episode from the person,” and how does changing our language help in practising forgiveness?","It is said, ‘Sticks and stones may break my bones, but words will never hurt me’. This could not be further from the truth. Physical violence is inflicted with weapons, but emotional violence is inflicted with words; words can leave invisible scars that can take years, or even lifetimes, to heal. 

This is not to say that we should tolerate abuse or not do the sensible thing and correct someone when they are wrong, but in order to practise forgiveness, we have to learn to separate the incident from the person. Disconnecting the person from the problem starts with the language we use to describe the incident: 

Saying ‘it is my problem’ causes us to feel guilty, and over time, one may develop an inferiority complex. We may begin to think that we are not tough enough to deal with situations and thus we may become morose over issues. 

Saying ‘it is your problem’ causes us to feel angry. How many times have we pointed our index finger at someone and used the words, ‘It’s your problem, not mine.’ I have never seen anyone say those words in a peaceful state of mind. Blaming the other person only leads to a spiral of anger. 

Saying ‘it is the problem’ separates the problem from the persons involved. Not only does this separation empower us to forgive the person, it also helps us to effectively deal with the problem.","83,84",,,,,,
30,Life's amazing secret,How does the passage reconcile personal forgiveness with the need for social justice?,"Some spiritual leaders would advise us to always forgive, regardless of the situation. Although that sounds like the most peaceful approach, it can end up doing more harm than good sometimes. 

On a personal level, we can forgive those who hurt us. That is a personal choice, available to all of us. However, on a societal level, such heinous crimes, if left unpunished, can create havoc. The social repercussions of allowing those who break the law to go free are devastating. Therefore, Sri Krishna encouraged Arjuna to lift his bow, because in this case fighting was the right thing to do. 

Similarly, the men who perform the criminal act of rape should face the full force of justice, as casual actions in the name of forgiveness do nothing to help society progress. If these criminals are not detained and punished, can you imagine the message it will send out? The principle of forgiveness and the principle of social justice go hand-in-hand; it takes wisdom and introspection to know how they are to be used.

","87,88",,,,,,
31,Life's amazing secret,what principles we should know about forgiveness? ,"The principles we should know about forgiveness are: 
Look beyond the situation: If we are hurt by someone’s words, try to understand why they spoke them. When people act harshly towards us, most of the time they are suffering too. This is empathy. 

Separate the episode from the person: Rather than being affected by the emotion of guilt by saying, ‘I am wrong,’ or anger by saying, ‘You are wrong,’ we should separate the I or the You and deal with the wrong. 

Higher purpose: Can we forgive based on a higher principle? For example, in my story, the husband forgave the wife because he loved her, and they had a duty to their community and son. If chosen, this approach takes support and time and is not something that happens overnight. 

Justice: On a personal level, we can forgive the person who may have wronged us, but on a societal level, there should be strict justice to create an orderly society. No one should be able to break the law and get away with it in the name of forgiveness.",89,,,,,,
32,Life's amazing secret,"What is the difference between jealousy and envy, and how does envy lead to destructive competition?","‘One reason I thought of was that he was, possibly, envious of me. When one harbours ill feelings towards others wanting to be like them or better than them but does not act on those feelings, it is called jealousy. Although the feeling eats one up from the inside, one still has the self-control to not harm the other person. However, when one does act on those feelings, jealously turns into envy. And envy is the root cause of being competitive with others in a way where one does not mind going to any extent to take their place.",99,,,,,,
33,Life's amazing secret,"How does uncontrolled ambition cause competition to cross ethical boundaries in sports, business, and politics?","Uncontrolled Ambition: 
‘Another reason I could think of was that people want to be the best, sometimes at any cost. When there are limited resources and many takers, competition is natural. This is found in all domains of life, from music to sport and even among other species. Competition is a tendency that occurs in nearly every ecosystem in nature.

 ‘But human beings are not just another species. They have the ability to cooperate and subscribe to higher values such as harmony, loyalty and trust. Just as within natural ecosystems competition is greater within the same species, within humans competition is fierce within the same company or the same field of action. We compete with people who have the same skills or outlook in life as us. An engineer competes with another engineer, a musician with another musician and a doctor with another doctor. When another person’s skills have no bearing on our life, we rarely feel threatened. But if someone can outperform us by doing better in what we aspire to do, the base tendencies of competition can settle in. 

Sports:
 Every sport has an element of competition to it and there is a joy in pushing yourself to the limit. But when the stakes are high, the prestige and prize of winning may completely overshadow the ethic of ‘doing your best’, and some players may even play dirty to win. Whether it is over-exaggerating injuries in a football tournament or tampering with the ball to make it swing more in flight in a cricket match, players have been seen putting their hard-earned reputation and even their sports career on the line simply for some cheap, short-term gains.

Business: 
Companies will almost always compete to grab the biggest market share and be the best in the industry, unless they have a monopoly in a particular sector. After all, a capitalist society is based on the premise of increasing profits and having more for oneself. And that’s fine, as long as such competition is driven by sheer ambition. But when ambition crosses the line of ethics and turns into greed, even reputed businesses can get involved with scandals as they vie for the largest piece of the pie.
 
Politics:
Rather than contesting an election based on merit, politicians may sometimes be seen spreading lies to sway voters, suppressing voters on polling days, threatening opponents or even assassinating a candidate! And the root cause is unethical competition.","99,100",,,,,,
34,Life's amazing secret,"According to the passage, what does healthy competition mean, and how is it different from competing with others? And what speech did Matthew McConaughey give?","‘The only difference is whom are you competing with,’ I added. ‘People with a closed mindset want to grow by beating others in their field. Open-minded people, on the other hand, grow by developing themselves. They know that nobody is their competition. They are their own competition. Every day they keep striving to become better versions of themselves, even if the growth is only a tiny fragment. They feel uncomfortable if they remain the same as they were yesterday. The actor Matthew McConaughey spoke about this principle in his 2014 Oscar acceptance speech.’

The words of the American actor echoed around the car: ‘And to my hero. That’s who I chase. Now when I was fifteen years old, I had a very important person in my life come to me and say, “Who’s your hero?” And I said, “I don’t know, I gotta think about that. Give me a couple of weeks.” I come back two weeks later, this person comes up and says, “Who’s your hero?” I said, “I thought about it. You know who it is? It’s me in ten years.” So I turned twentyfive. Ten years later, that same person comes to me and says, “So, are you a hero?” And I was like, “Not even close. No, no, no.” She said, “Why?” I said, “Because my hero’s me at thirty-five.” So, you see, every day, every week, every month and every year of my life, my hero’s always ten years away. I’m never gonna be my hero. I’m not gonna attain that. I know I’m not, and that’s just fine with me because that keeps me with somebody to keep on chasing.",103,,,,,,
35,Life's amazing secret,Why is self-discovery considered the foundation of growth?,"‘If there is one thing that I think is the foundation of growth, it is understanding who you are. You can only compete with yourself if you have a clear idea of your potential, your capacities and certainly your limitations,’ I replied",106,,,,,,
36,Life's amazing secret,"What does the Japanese concept of ikigai mean, and what four questions help in finding one’s purpose?","Ikigai has no direct English translation, but is understood to mean ‘a reason to live’ or having purpose in life. It comes from Japan, the country with the highest number of the most elderly people in the world. The island of Okinawa has an average male life expectancy of seventy-eight and an average female life expectancy of eighty-six! According to Akihiro Hasegawa, a clinical psychologist from Toyo Eiwa University, the word gai originates from the word kai, which translates as shell. He says that in the Heian period (794–1185) shells were considered extremely valuable. Therefore, gai now means to have ‘value in living’. According to this concept, to find purpose in life, you have to answer four questions, just as Sairaj and his family did subconsciously: 
What do you love? 
What are you good at? 
What does the world need? 
What can you get paid for?",110,,,,,,
37,Life's amazing secret,What principle should people follow if they have not yet discovered their purpose in life?,"If we are older and have not yet figured out our purpose, we can follow the principle: love what we have to do and do what we love to do.","112, 113",,,,,,
38,Life's amazing secret,How does spirituality affect ambition according to the author? Does it suppress ambition or transform it?,"Therefore, Krishna inspired Arjuna to fight and win back the throne. In one sense, it was not the throne of the Pandavas. It was the throne of the people of their kingdom who needed the strong value-based leadership of the Pandavas for their society to thrive. Therefore, spirituality does not kill our ambition; it redirects it towards the service of others.

There are many misconceptions when it comes to being a spiritualminded person and being successful in the world. One is that spirituality kills our ambitions and zest to achieve. This is false because spirituality just changes our motive to achieve. It makes us want to be hugely successful so that we can have the resources to help others. The story of Krishna and Arjuna in the Gita explains more: Fight and achieve to help others, but be internally content in your personal life.","116, 120",,,,,,
39,Life's amazing secret,Why is it incorrect to believe that spiritual people get taken advantage of in business?,"‘The moral is that spiritual people do not intentionally harm others, nor do they cheat others in business. However, at the same time, they do not behave timidly when it comes to work. Humility or meekness does not mean you are a pushover, it means you understand how to behave properly in all scenarios. Don’t they say, Be straightforward in two things: business and eating. We have to understand that spirituality transforms our character; it doesn’t make us fools!’ I said emphatically. 

‘In our ambition to make money, even the sky should not be the limit. But at the same time, we should be wary of the potency money has to distract us and impel us to make compromises with our ideals. If we introspect deeply and have the regular company of spiritual-minded people, we can keep our intentions and actions clean and grow to be a massive success, based on the foundation of good character. It takes time to develop, but good character is a shining light to show us how to live our life. That’s the spiritual principle of sadachar.’",119,,,,,,
40,Life's amazing secret,"What are the three aspects of spirituality in practice, and how do they help in developing good character?","There are three aspects of spirituality in practice: 

Vichaar: The philosophy that we seek answers from. This helps us understand how life should be lived, and how spirituality should be practised. These concepts, in turn, are the universal lighthouse principles that guide us towards living a life of value. 
Aachaar: Based on the philosophy is the physical action which leads to a transformation in our value system and helps us develop good conduct and character. When one’s character is transformed by following even a sentence of the rich philosophy, then those actions are called aachaar. 
Prachaar: The good conduct of a spiritual practitioner inspires others to have faith in the philosophy and values of spirituality. Without having to give a single sermon, we can reach out to many just by being exemplary and having good character. What great men do, common men follow.","123, 124",,,,,,
41,Life's amazing secret,"What do the ice cream and the candle symbolize, and how do their philosophies differ?","the ideology behind the ice cream is: enjoy your life before it melts. It symbolizes hedonism; to savour every moment of your life through personal enjoyment. On the other hand, the candle is symbolic of another ideology: to give light to others before it melts. Both ice creams and candles melt, but their reason for doing so are completely different. The candle is formed from wax. Its very essence is burnt just to give light for other people to see. This is the selfless nature of a candle.",130,,,,,,
